Frames,X Position (px),Y Position (px),Angle (deg)
112,45.354166666666664,41.5,42.45915808930505
113,46.42222222222222,40.577777777777776,41.156785794359614
114,45.55555555555556,42.166666666666664,42.78764699322103
115,45.5,42.64583333333333,43.145407659124814
116,46.354166666666664,42.5,42.51627692937604
117,46.577777777777776,41.42222222222222,41.647110103609904
118,44.577777777777776,42.577777777777776,43.68543719880651
119,46.19047619047619,42.57142857142857,42.66519920293794
120,47.733333333333334,41.0,40.66055249742419
121,47.5,40.13333333333333,40.19487753560885
122,46.5,41.5,41.748054399636125
123,46.77777777777777,42.22222222222222,42.06981447982683
124,47.0,40.5,40.7515454706387
125,46.42222222222222,40.42222222222222,41.0477695378837
126,45.5,41.5,42.36756513101352
127,46.288888888888884,42.044444444444444,42.2490356470808
128,46.577777777777776,40.42222222222222,40.952866773734556
129,45.354166666666664,41.5,42.45915808930505
130,45.8095238095238,42.42857142857143,42.805714351525204
131,47.5,41.64583333333333,41.24280675731042
132,47.577777777777776,40.42222222222222,40.35132815691592
133,45.77777777777777,39.77777777777778,40.98842239915543
134,46.0,40.733333333333334,41.52512251068022
135,47.5,40.5,40.451957590874585
136,47.5,40.0,40.10090754621224
137,45.577777777777776,39.42222222222222,40.857967753199304
138,45.5,40.5,41.67259575827343
139,46.77777777777777,39.77777777777778,40.37638596893968
140,46.354166666666664,39.5,40.43547303080248
141,45.64583333333333,39.5,40.87154563443583
142,45.354166666666664,40.5,41.7639605755621
143,46.42222222222222,40.42222222222222,41.0477695378837
144,45.577777777777776,40.42222222222222,41.56932004741695
145,45.577777777777776,42.42222222222222,42.94633429663399
146,46.5,42.64583333333333,42.52439302921034
147,47.577777777777776,41.577777777777776,41.14990797241419
148,46.577777777777776,40.577777777777776,41.06183297771413
149,46.64583333333333,41.5,41.65894273425189
150,47.577777777777776,41.42222222222222,41.043521447020176
151,47.64583333333333,39.5,39.65987487189591
152,46.577777777777776,39.42222222222222,40.2437098912248
153,45.42857142857143,39.8095238095238,41.228416836585396
154,45.5,39.64583333333333,41.06684210758573
155,46.03921568627451,38.90196078431372,40.19695570101176
156,45.55555555555556,38.833333333333336,40.44556862954471
157,44.74358974358974,39.666666666666664,41.55804549321834
158,45.5,39.64583333333333,41.06684210758573
159,45.42222222222222,39.577777777777776,41.066637827364744
160,44.0,40.0,42.27368900609374
161,44.42222222222222,40.577777777777776,42.410347914459095
162,45.625,40.0,41.241444314528
163,45.5,39.0,40.60129464500447
164,44.577777777777776,39.577777777777776,41.599838027511865
165,44.5,40.64583333333333,42.40824844179329
166,45.354166666666664,39.5,41.05336543268438
167,45.22222222222222,38.77777777777778,40.612885941531154
168,44.64583333333333,40.5,42.21241439486429
169,45.354166666666664,41.5,42.45915808930505
170,47.5,41.5,41.14319901441016
171,47.5,40.5,40.451957590874585
172,46.42857142857143,41.19047619047619,41.578780723570695
173,47.5,40.64583333333333,40.55366207704352
174,47.42222222222222,39.42222222222222,39.73683945284593
175,46.5,38.64583333333333,39.72973960235671
176,45.5,39.5,40.96228937902288
177,45.5,39.5,40.96228937902288
178,46.666666666666664,39.256410256410255,40.07084171572478
179,45.5,39.354166666666664,40.8574043419325
180,45.55555555555556,39.833333333333336,41.16613216899701
181,46.577777777777776,39.577777777777776,40.35501333324217
182,47.354166666666664,39.5,39.83283355126164
183,45.42222222222222,39.577777777777776,41.066637827364744
184,45.5,40.354166666666664,41.56997155993821
185,47.354166666666664,39.5,39.83283355126164
186,46.96078431372548,39.09803921568627,39.779677356368076
187,46.22222222222222,39.22222222222222,40.31652671392263
188,45.22222222222222,40.77777777777778,42.04160966604399
189,45.5,39.64583333333333,41.06684210758573
190,45.5,39.64583333333333,41.06684210758573
191,44.577777777777776,39.577777777777776,41.599838027511865
192,44.5,40.5,42.3057157101439
193,46.19047619047619,39.42857142857143,40.4843447556861
194,45.5,39.354166666666664,40.8574043419325
195,44.5,40.354166666666664,42.20284790203007
196,44.77777777777777,42.22222222222222,43.31746602098479
197,46.77777777777777,42.22222222222222,42.06981447982683
198,45.44444444444444,42.166666666666664,42.85740324147402
199,44.375,42.0,43.42497021067011
200,45.42222222222222,42.42222222222222,43.044036117214944
201,46.74358974358974,41.666666666666664,41.71342254253848
202,46.77777777777777,41.22222222222222,41.3876362132995
203,46.0,42.8095238095238,42.94253777757775
204,47.42222222222222,42.42222222222222,41.814675689046
205,47.5,40.5,40.451957590874585
206,46.0,39.5,40.652543092440325
207,45.060606060606055,40.39393939393939,41.87418639036535
208,46.77777777777777,39.22222222222222,39.97915367321128
209,46.22222222222222,39.22222222222222,40.31652671392263
210,45.0,40.0,41.6335393365702
211,44.733333333333334,41.0,42.50658018325656
212,45.0,41.733333333333334,42.84306931334152
213,45.55555555555556,39.166666666666664,40.6874968560611
214,44.42222222222222,40.42222222222222,42.300783252580786
215,44.55555555555556,41.166666666666664,42.73608329923483
216,46.166666666666664,40.44444444444444,41.22007625640233
217,45.577777777777776,39.577777777777776,40.96964082622256
218,44.42222222222222,41.42222222222222,42.99850280086159
219,44.77777777777777,41.77777777777778,43.01493321364438
220,45.577777777777776,40.577777777777776,41.67858999010227
221,45.577777777777776,40.577777777777776,41.67858999010227
222,45.354166666666664,41.5,42.45915808930505
223,47.22222222222222,42.22222222222222,41.80046029043743
224,47.42222222222222,39.42222222222222,39.73683945284593
225,45.577777777777776,39.577777777777776,40.96964082622256
226,44.77777777777777,40.77777777777778,42.32318553291353
227,45.42222222222222,40.577777777777776,41.77589311952701
228,44.74358974358974,39.33333333333333,41.31815666761027
229,44.31481481481481,39.7037037037037,41.85863984778118
230,44.19047619047619,41.0,42.855212978468636
231,45.74358974358974,42.33333333333333,42.782668400181414
232,47.25641025641025,42.33333333333333,41.85468321724437
233,46.42222222222222,42.42222222222222,42.42214097766025
234,47.42222222222222,42.42222222222222,41.814675689046
235,47.577777777777776,41.577777777777776,41.14990797241419
236,47.666666666666664,40.416666666666664,40.29468145361684
237,46.733333333333334,40.0,40.56088385153146
238,47.37254901960784,41.2156862745098,41.024348870180454
239,47.5,39.64583333333333,39.85003428796284
240,47.5,39.64583333333333,39.85003428796284
241,46.77777777777777,40.22222222222222,40.690836716295756
242,46.5,41.354166666666664,41.64787602487245
243,47.5,40.354166666666664,40.34994431335274
244,46.577777777777776,39.577777777777776,40.35501333324217
245,46.0,39.625,40.742038795733315
246,45.577777777777776,39.577777777777776,40.96964082622256
247,46.5,39.354166666666664,40.242111475186114
248,45.42222222222222,39.42222222222222,40.9549111091279
249,44.577777777777776,40.42222222222222,42.20110148642365
250,46.19047619047619,40.42857142857143,41.194287681816526
251,47.5,39.354166666666664,39.64204628446863
252,46.44444444444444,39.166666666666664,40.14098336837456
253,46.5,40.354166666666664,40.95247556539569
254,46.833333333333336,39.55555555555556,40.18452349548063
255,46.64583333333333,39.5,40.25814682794308
256,45.42222222222222,39.577777777777776,41.066637827364744
257,44.5,40.64583333333333,42.40824844179329
258,45.77777777777777,40.22222222222222,41.303857993014034
259,44.5,39.5,41.59355624500528
260,43.577777777777776,40.42222222222222,42.84863049903734
261,44.42222222222222,40.577777777777776,42.410347914459095
262,45.0,41.5,42.682937614128676
263,44.5,40.64583333333333,42.40824844179329
264,44.15,41.733333333333334,43.38818235186715
265,44.64583333333333,42.5,43.589463780350115
266,46.5,41.5,41.748054399636125
267,46.5,41.5,41.748054399636125
268,46.44444444444444,43.166666666666664,42.90518004245627
269,47.44444444444444,42.166666666666664,41.62937479380147
270,47.8095238095238,40.42857142857143,40.218446181922424
271,47.5,40.0,40.10090754621224
272,46.577777777777776,40.577777777777776,41.06183297771413
273,47.375,41.0,40.87407058655341
274,47.42222222222222,40.42222222222222,40.44393776284695
275,46.44444444444444,39.833333333333336,40.61822268651893
276,45.0,40.266666666666666,41.822650968754715
277,45.22222222222222,40.22222222222222,41.65101022473526
278,46.42222222222222,39.42222222222222,40.33825337657665
279,44.22222222222222,39.77777777777778,41.97130142165942
280,44.33333333333333,41.25641025641025,42.941122252200266
281,45.42222222222222,40.42222222222222,41.66657987590725
282,46.5,38.64583333333333,39.72973960235671
283,44.42222222222222,40.42222222222222,42.300783252580786
284,44.55555555555556,40.833333333333336,42.503976268890284
285,45.577777777777776,40.42222222222222,41.56932004741695
286,45.5,39.64583333333333,41.06684210758573
287,44.354166666666664,40.5,42.39935210225764
288,45.22222222222222,41.77777777777778,42.732768831719625
289,46.577777777777776,40.577777777777776,41.06183297771413
290,46.77777777777777,39.77777777777778,40.37638596893968
291,45.77777777777777,41.22222222222222,42.002575353609934
292,46.55555555555556,41.833333333333336,41.94185066890482
293,46.8095238095238,39.0,39.799837500819
294,45.57142857142857,39.19047619047619,40.694842710949985
295,43.77777777777777,39.77777777777778,42.25920940581744
296,44.25641025641025,40.33333333333333,42.34465678058189
297,44.64583333333333,39.5,41.50050627535657
298,44.42222222222222,39.577777777777776,41.69929642925957
299,44.0,40.733333333333334,42.79220808274036
300,44.8095238095238,41.0,42.45801633548374
301,45.5,39.354166666666664,40.8574043419325
302,44.5,39.354166666666664,41.48836453023717
