Frames,X Position (px),Y Position (px),Angle (deg)
1,809.0565321449203,737.4080099977599,42.3473530575242
2,809.0474675339979,737.4317094440123,42.34858940705491
3,809.0494752977243,737.445218724207,42.34904117825546
4,809.0278494433645,737.4439300229723,42.34975382115021
5,809.0351094296927,737.4471944277482,42.34962411516161
6,809.0325591261003,737.4336267543395,42.34918921618096
7,809.0446425412997,737.4334076196541,42.348754699099615
8,809.0513854498289,737.4385331918405,42.348715224601406
9,809.0519550964576,737.4339300033017,42.34851708104794
10,809.04274834359,737.4423616514583,42.34916784158578
11,809.0492800792443,737.4344995931651,42.34863342881332
12,809.04274834359,737.4423616514583,42.34916784158578
13,809.0519550964576,737.4339300033017,42.34851708104794
14,809.04274834359,737.4423616514583,42.34916784158578
15,809.0492800792443,737.4344995931651,42.34863342881332
16,809.04274834359,737.4423616514583,42.34916784158578
17,809.0519550964576,737.4339300033017,42.34851708104794
18,809.04274834359,737.4423616514583,42.34916784158578
19,809.0492800792443,737.4344995931651,42.34863342881332
20,809.04274834359,737.4423616514583,42.34916784158578
21,809.0519550964576,737.4339300033017,42.34851708104794
22,809.04274834359,737.4423616514583,42.34916784158578
23,809.0492800792443,737.4344995931651,42.34863342881332
24,809.04274834359,737.4423616514583,42.34916784158578
25,809.0519550964576,737.4339300033017,42.34851708104794
26,809.04274834359,737.4423616514583,42.34916784158578
27,809.0492800792443,737.4344995931651,42.34863342881332
28,809.04274834359,737.4423616514583,42.34916784158578
29,809.0519550964576,737.4339300033017,42.34851708104794
30,809.04274834359,737.4423616514583,42.34916784158578
31,809.0492800792443,737.4344995931651,42.34863342881332
32,809.0995084550435,737.3752792869069,42.344571729947326
33,809.1179840037637,737.3445189367206,42.342730414927985
34,809.1200559986823,737.35429754594,42.34303565932316
35,809.1177868775299,737.3443471712321,42.34273071955927
36,809.1200559986823,737.35429754594,42.34303565932316
37,809.1177868775299,737.3443471712321,42.34273071955927
38,809.1245470375076,737.3557343875005,42.34293291700915
39,809.12227870743,737.3457836145825,42.342627934359555
40,809.1245470375076,737.3557343875005,42.34293291700915
41,809.12227870743,737.3457836145825,42.342627934359555
42,809.1245470375076,737.3557343875005,42.34293291700915
43,809.12227870743,737.3457836145825,42.342627934359555
44,809.1245470375076,737.3557343875005,42.34293291700915
45,809.12227870743,737.3457836145825,42.342627934359555
46,809.1245470375076,737.3557343875005,42.34293291700915
47,809.12227870743,737.3457836145825,42.342627934359555
48,809.1245470375076,737.3557343875005,42.34293291700915
49,809.12227870743,737.3457836145825,42.342627934359555
50,809.1245470375076,737.3557343875005,42.34293291700915
51,809.12227870743,737.3457836145825,42.342627934359555
52,809.1245470375076,737.3557343875005,42.34293291700915
53,809.12227870743,737.3457836145825,42.342627934359555
54,809.1245470375076,737.3557343875005,42.34293291700915
55,809.12227870743,737.3457836145825,42.342627934359555
56,809.1245470375076,737.3557343875005,42.34293291700915
57,824.2734299160737,769.0065248645261,43.01334894928624
58,824.2448212311094,768.988229512225,43.013660952039665
59,824.2271996070485,768.9712654264137,43.01364148490521
60,824.216428360849,768.9468111242137,43.013106101157405
61,824.2475327736043,768.9177345706289,43.010946915189656
62,764.8528031321493,823.5677492393688,47.11693789337146
63,764.850224627684,823.5795630077705,47.117444027388444
64,764.849523607377,823.5736521862176,47.11726516781108
65,764.8202269724424,823.561013590034,47.1179210804572
66,792.0650074248615,818.3176245351791,45.93395874054075
